,ISBN,book_id,title,author,publisher,year,language
1,0374157065,3,Flu - The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,['Gina Bari Kolata'],Macmillan,1999,en
2,0399135782,5,The Kitchen God's Wife,['Amy Tan'],Putnam Adult,1991,en
3,0440234743,18,The Testament,['John Grisham'],Island,1999,en
4,0452264464,19,Beloved - A Novel,['Toni Morrison'],Plume Books,1988,en
5,0609804618,20,Our Dumb Century,['Scott Dikkers'],Crown,1999,en
6,1841721522,21,New Vegetarian - Bold And Beautiful Recipes For Every Occasion,['Celia Brooks Brown'],,2001,en
7,0971880107,26,Wild Animus,['Rich Shapero'],Too Far Books,2004,en
8,0345402871,27,Airframe,['Michael Crichton'],"Random House Digital, Inc.",1997,en
9,0345417623,28,Timeline,['Michael Crichton'],,1999,en
10,0375759778,30,Prague - A Novel,['Arthur Phillips'],Random House Trade Paperbacks,2003,en
11,0375406328,36,Lying Awake,['Mark Salzman'],"Random House Digital, Inc.",2000,en
13,0449005615,38,Seabiscuit - An American Legend,['Laura Hillenbrand'],Ballantine Books,2002,en
14,0060168013,39,Pigs In Heaven - A Novel,['Barbara Kingsolver'],HarperCollins Publishers,1993,en
15,0061099686,43,Downtown,['Anne Rivers Siddons'],HarperTorch,1995,en
16,0553582909,44,Icebound,['Dean Koontz'],Bantam,2000,en
17,0671888587,45,I'll Be Seeing You - A Novel,['Mary Higgins Clark'],Simon and Schuster,1994,en
18,0553582747,46,From The Corner Of His Eye,['Dean Ray Koontz'],Bantam,2001,en
19,0425182908,47,Isle Of Dogs,['Patricia Cornwell'],Penguin,2002,en
20,042518630X,48,Purity In Death,['J. D. Robb'],Penguin,2002,en
21,0440223571,49,This Year It Will Be Different And Other Stories,['Maeve Binchy'],Dell Publishing Company,1997,en
22,0842342702,51,Left Behind - A Novel Of The Earth's Last Days,"['Tim LaHaye', 'Jerry B. Jenkins']",,1998,en
23,0440225701,52,The Street Lawyer,['John Grisham'],Dell Publishing Company,1999,en
